lane,lane_label,lane_order,n_physical,delay_dt,dt_ns,metric,dimensions,reference_dimension,comparison_dimension,source_simulation_lanes,contains_theory_baseline,contains_explicit_theory_mixing,d2_fill_ratio,d2_value,d2_ci_low,d2_ci_high,d3_fill_ratio,d3_value,d3_ci_low,d3_ci_high,d4_fill_ratio,d4_value,d4_ci_low,d4_ci_high,delta_d4_minus_d2,significant_d4_minus_d2,delta_d4_minus_d3,significant_d4_minus_d3
hardware,IBM hardware lane,2,2,64,256.0,leakage,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.06263226619879765,0.05137518955462235,0.07629347913701544,0.75,0.03830224287351905,0.03209845795811819,0.043911720664446235,1.0,1.4807599590938025e-16,4.85722573273506e-17,2.746067262471284e-16,-0.0626322661987975,True,-0.0383022428735189,True
hardware,IBM hardware lane,2,2,128,512.0,leakage,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.06186298809006426,0.05030553430127321,0.07557409440863906,0.75,0.03382188186774587,0.028261721171825085,0.03925387451084563,1.0,1.6771306565743772e-16,5.551115123125783e-17,3.158931449753765e-16,-0.061862988090064096,True,-0.03382188186774571,True
theory,Theory baseline,0,2,0,0.0,in_subspace_fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,1.0,0.9999999999999999,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,False,0.0,False
theory,Theory baseline,0,2,2048,455.1111111111111,in_subspace_fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,0.9937222670022964,0.992468881266516,0.9949732872868248,0.75,0.9910025133360785,0.9881026265014996,0.9924643772423134,1.0,0.9879799514350912,0.985742186248573,0.9902176461112282,-0.0057423155672051696,True,-0.003022561900987264,False
theory,Theory baseline,0,2,4096,910.2222222222222,in_subspace_fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,0.9875178419433513,0.985030083457238,0.9900579719589414,0.75,0.9821115011120205,0.9764043561633788,0.9850119998880871,1.0,0.976165505034485,0.9717601044380556,0.9805711808002145,-0.01135233690886639,True,-0.0059459960775355425,False
theory,Theory baseline,0,2,8192,1820.4444444444443,in_subspace_fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,0.9753255237588682,0.970462124439554,0.9850157473176102,0.75,0.9646452184425135,0.9535937663464124,0.9702345695293403,1.0,0.9531378767985009,0.944600081502049,0.9616756523919276,-0.022187646960367235,True,-0.01150734164401257,False
aer,Aer circuit lane,1,2,0,0.0,in_subspace_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9696058928727165,0.9677183683677861,0.9715650967395159,0.75,0.9521975063679652,0.950684852832763,0.953717202308631,1.0,0.9335444434601282,0.9324682002006862,0.9346891997817562,-0.036061449412588265,True,-0.01865306290783697,True
aer,Aer circuit lane,1,2,2048,455.1111111111111,in_subspace_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9648166252672732,0.9628678701820389,0.9669004375809542,0.75,0.9464067488934763,0.9448713034491266,0.9476925570185515,1.0,0.9264757615675009,0.9252526898972416,0.9276597943126549,-0.0383408636997723,True,-0.019930987325975424,True
aer,Aer circuit lane,1,2,4096,910.2222222222222,in_subspace_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9592801254896071,0.956831268919076,0.9617013385025139,0.75,0.938296331362863,0.9368639538238651,0.9397532031612555,1.0,0.9162048732395616,0.914795201133475,0.9174595881637366,-0.04307525225004549,True,-0.022091458123301377,True
aer,Aer circuit lane,1,2,8192,1820.4444444444443,in_subspace_fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9521370079387281,0.9495773898253463,0.9547503676190839,0.75,0.925851419980034,0.9242303540502261,0.9275838864775322,1.0,0.8993414229792753,0.8979355830183435,0.9007139145012415,-0.0527955849594528,True,-0.026509997000758623,True
hardware,IBM hardware lane,2,2,0,0.0,in_subspace_fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.9346057894600596,0.9216496629656207,0.948492222257856,0.75,0.8941886736573808,0.8858600997892756,0.9041220878754405,1.0,0.8519969472632828,0.8433845102701659,0.861072180823717,-0.08260884219677678,True,-0.04219172639409796,True
